{:process 2, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 0, :type :invoke, :f :read, :value nil}
{:process 2, :type :invoke, :f :read, :value nil}
{:process 1, :type :invoke, :f :read, :value nil}
{:process 2, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 0, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
{:process 1, :type :ok, :f :read, :value 716053925773580425371519883562956761056855305347894146236502008696903788310866845280005667187167759239182188064512713401211147032157067406202973177617950074797212131983525912559213118137717450863151424125672514027150823780787104269881640813445152434914082712361249505718052797931524944216674718671362299468463716130754313714893132571437375649472759302603283618865108858442382777607889417798596007084848399566449357398287336956857361111089926851502630383270087713144472366164214679639159177958464901359275619208461388216903959661718735219369207537489291718676940735587613535490250390461540134308976839303852099128184438473005013896829106515429257813652954466945828750303067904885160578044830515502655151962350189146960564817570755283699856065971699865448215492931290495003791872988425366007321662802632923233421375822424476555765920333966200557031406945713209021254742583638564724530011353275503299458713861254827030386635205527692485061109581506537300940615374522041451532882538478462645382956480546819299762501369754484609}
